Graph Name,k,l,Gen_xy,Edges,Vertex Count,Edge Count,Cross Count,Thickness
"(2,3)-MTG(7)",2,3,"{0: (-393, -17), 1: (-393, 22), 2: (-25, 213), 3: (0, 200), 4: (-27, -215), 5: (0, -200), 6: (15, 4)}","[(0, 1), (0, 6), (1, 2), (1, 6), (2, 6), (2, 3), (3, 6), (3, 5), (4, 6), (4, 5), (5, 6)]",7,11,4,2
"(2,3)-MTG(5)",2,3,"{0: (-140, -179), 1: (-182, 116), 2: (101, 45), 3: (-49, 0), 4: (103, -77)}","[(0, 4), (0, 3), (1, 2), (1, 3), (2, 4), (2, 3), (3, 4)]",5,7,0,1
"(2,3)-MTG(5)",2,3,"{0: (-151, -132), 1: (-160, 56), 2: (101, 45), 3: (-39, -44), 4: (103, -77)}","[(0, 4), (0, 3), (0, 1), (1, 3), (2, 4), (2, 3), (3, 4)]",5,7,0,1
"(2,3)-MTG(7)",2,3,"{0: (-100, -20), 1: (-120, 20), 2: (240, 220), 3: (260, 200), 4: (240, -221), 5: (260, -200), 6: (280, 0)}","[(0, 1), (0, 4), (0, 6), (1, 6), (2, 3), (2, 6), (3, 6), (3, 5), (4, 5), (4, 6), (5, 6)]",7,11,4,2
"(2,3)-MTG(9)",2,3,"{0: (0, 100), 1: (1, 0), 2: (-1, 99.998), 3: (199, 99.998), 4: (-198, 1), 5: (0, -100), 6: (-2, -99.998), 7: (198, -99.998), 8: (-198, -1)}","{(0, 1), (2, 1), (3, 7), (1, 8), (5, 1), (3, 0), (0, 2), (7, 6), (2, 6), (5, 6), (8, 6), (4, 8), (1, 6), (7, 5), (4, 1)}",,,,
"(2,3)-MTG(10)",2,3,"{0: (0, 200), 1: (1, 0), 2: (-1, 199.999), 3: (399, 199.999), 4: (-398, 1), 5: (0, -200), 6: (-2.5, -199.999), 7: (397.5, -199.999), 8: (-398, -1)}","{(0, 1), (2, 1), (7, 5), (1, 8), (2, 0), (5, 1), (3, 0), (7, 6), (5, 6), (0, 5), (8, 6), (4, 8), (1, 6), (3, 2), (4, 1)}",,,,
"(2,3)-MTG(9)",2,3,"{0: (0, 200), 1: (1, 0), 2: (-1, 199.999), 3: (399, 199.999), 4: (-399, 7), 5: (0, -200), 6: (-2.5, -199.999), 7: (397.5, -199.999), 8: (-398, -1)}","[(0, 1), (0, 3), (0, 2), (0, 5), (1, 2), (1, 8), (1, 6), (1, 5), (1, 4), (2, 4), (2, 3), (4, 8), (5, 6), (5, 7), (6, 7)]",9,15,8,2
"(2,3)-MTG(6)",2,3,"{0: (-209, -23), 1: (11, 56), 2: (117, -194), 3: (253, 161), 4: (14, -107), 5: (291, -18)}","[(0, 1), (0, 4), (1, 2), (1, 3), (1, 5), (1, 4), (2, 4), (2, 5), (3, 5)]",6,9,0,1
"(2,3)-MTG(9)",2,3,"{0: (-305, -95), 1: (-251, -7), 2: (-147, 76), 3: (-30, 109), 4: (101, 86), 5: (200, 8), 6: (266, -94), 7: (261, -182), 8: (-310, -177)}","[(0, 1), (0, 8), (0, 2), (1, 2), (1, 8), (1, 3), (2, 4), (2, 3), (3, 4), (3, 5), (4, 6), (4, 5), (5, 6), (5, 7), (6, 7)]",9,15,6,2
"(2,3)-MTG(7)",2,3,"{0: (-255, 163), 1: (-39, 220), 2: (59, 222), 3: (2, -276), 4: (312, 240), 5: (306, 143), 6: (311, 206)}","[(0, 1), (0, 2), (1, 2), (1, 6), (1, 3), (2, 6), (2, 4), (2, 3), (4, 5), (4, 6), (5, 6)]",7,11,5,2
"(2,3)-MTG(9)",2,3,"{0: (-285, 157), 1: (-39, 220), 2: (59, 222), 3: (2, -276), 4: (312, 240), 5: (306, 143), 6: (311, 206), 7: (-294, 238), 8: (-290, 196)}","[(0, 1), (0, 7), (0, 8), (1, 2), (1, 8), (1, 6), (1, 3), (2, 6), (2, 3), (2, 4), (2, 8), (4, 5), (4, 6), (5, 6), (7, 8)]",9,15,8,2
